Round,Client,Class,Layer,IoU
round_1,client_0,0 - zero,conv1,1.0000
round_1,client_0,0 - zero,conv2,1.0000
round_1,client_0,0 - zero,conv3,0.4286
round_1,client_0,1 - one,conv1,0.2000
round_1,client_0,1 - one,conv2,0.1429
round_1,client_0,1 - one,conv3,0.3333
round_1,client_0,3 - three,conv1,1.0000
round_1,client_0,3 - three,conv2,0.8000
round_1,client_0,3 - three,conv3,0.2857
round_1,client_1,0 - zero,conv1,1.0000
round_1,client_1,0 - zero,conv2,0.2000
round_1,client_1,0 - zero,conv3,0.0000
round_1,client_1,1 - one,conv1,0.5714
round_1,client_1,1 - one,conv2,0.5000
round_1,client_1,1 - one,conv3,0.8333
round_1,client_1,3 - three,conv1,1.0000
round_1,client_1,3 - three,conv2,0.8000
round_1,client_1,3 - three,conv3,0.5000
round_1,client_2,0 - zero,conv1,1.0000
round_1,client_2,0 - zero,conv2,0.6000
round_1,client_2,0 - zero,conv3,0.3750
round_1,client_2,1 - one,conv1,0.2500
round_1,client_2,1 - one,conv2,0.1429
round_1,client_2,1 - one,conv3,0.3333
round_1,client_2,3 - three,conv1,1.0000
round_1,client_2,3 - three,conv2,0.8000
round_1,client_2,3 - three,conv3,0.4000
round_1,client_3,0 - zero,conv1,1.0000
round_1,client_3,0 - zero,conv2,1.0000
round_1,client_3,0 - zero,conv3,0.3750
round_1,client_3,1 - one,conv1,0.5714
round_1,client_3,1 - one,conv2,0.3077
round_1,client_3,1 - one,conv3,0.6250
round_1,client_3,3 - three,conv1,1.0000
round_1,client_3,3 - three,conv2,0.8000
round_1,client_3,3 - three,conv3,0.1250
round_1,client_4,0 - zero,conv1,1.0000
round_1,client_4,0 - zero,conv2,0.5000
round_1,client_4,0 - zero,conv3,0.2857
round_1,client_4,1 - one,conv1,0.5000
round_1,client_4,1 - one,conv2,0.3636
round_1,client_4,1 - one,conv3,0.5000
round_1,client_4,3 - three,conv1,1.0000
round_1,client_4,3 - three,conv2,0.6000
round_1,client_4,3 - three,conv3,0.1667
round_10,client_0,0 - zero,conv1,1.0000
round_10,client_0,0 - zero,conv2,1.0000
round_10,client_0,0 - zero,conv3,0.7500
round_10,client_0,1 - one,conv1,1.0000
round_10,client_0,1 - one,conv2,1.0000
round_10,client_0,1 - one,conv3,0.7778
round_10,client_0,3 - three,conv1,1.0000
round_10,client_0,3 - three,conv2,0.5000
round_10,client_0,3 - three,conv3,0.8000
round_10,client_1,0 - zero,conv1,1.0000
round_10,client_1,0 - zero,conv2,1.0000
round_10,client_1,0 - zero,conv3,1.0000
round_10,client_1,1 - one,conv1,1.0000
round_10,client_1,1 - one,conv2,1.0000
round_10,client_1,1 - one,conv3,1.0000
round_10,client_1,3 - three,conv1,1.0000
round_10,client_1,3 - three,conv2,0.6667
round_10,client_1,3 - three,conv3,0.8000
round_10,client_2,0 - zero,conv1,1.0000
round_10,client_2,0 - zero,conv2,1.0000
round_10,client_2,0 - zero,conv3,1.0000
round_10,client_2,1 - one,conv1,1.0000
round_10,client_2,1 - one,conv2,1.0000
round_10,client_2,1 - one,conv3,1.0000
round_10,client_2,3 - three,conv1,1.0000
round_10,client_2,3 - three,conv2,1.0000
round_10,client_2,3 - three,conv3,0.8889
round_10,client_3,0 - zero,conv1,1.0000
round_10,client_3,0 - zero,conv2,0.6667
round_10,client_3,0 - zero,conv3,0.8333
round_10,client_3,1 - one,conv1,0.7500
round_10,client_3,1 - one,conv2,1.0000
round_10,client_3,1 - one,conv3,1.0000
round_10,client_3,3 - three,conv1,1.0000
round_10,client_3,3 - three,conv2,1.0000
round_10,client_3,3 - three,conv3,0.8889
round_10,client_4,0 - zero,conv1,1.0000
round_10,client_4,0 - zero,conv2,1.0000
round_10,client_4,0 - zero,conv3,0.6667
round_10,client_4,1 - one,conv1,1.0000
round_10,client_4,1 - one,conv2,1.0000
round_10,client_4,1 - one,conv3,1.0000
round_10,client_4,3 - three,conv1,1.0000
round_10,client_4,3 - three,conv2,1.0000
round_10,client_4,3 - three,conv3,1.0000
round_2,client_0,0 - zero,conv1,1.0000
round_2,client_0,0 - zero,conv2,1.0000
round_2,client_0,0 - zero,conv3,0.8182
round_2,client_0,1 - one,conv1,1.0000
round_2,client_0,1 - one,conv2,0.5714
round_2,client_0,1 - one,conv3,0.8000
round_2,client_0,3 - three,conv1,1.0000
round_2,client_0,3 - three,conv2,1.0000
round_2,client_0,3 - three,conv3,0.7895
round_2,client_1,0 - zero,conv1,1.0000
round_2,client_1,0 - zero,conv2,0.8000
round_2,client_1,0 - zero,conv3,0.8889
round_2,client_1,1 - one,conv1,1.0000
round_2,client_1,1 - one,conv2,0.8750
round_2,client_1,1 - one,conv3,0.8000
round_2,client_1,3 - three,conv1,1.0000
round_2,client_1,3 - three,conv2,1.0000
round_2,client_1,3 - three,conv3,0.7778
round_2,client_2,0 - zero,conv1,1.0000
round_2,client_2,0 - zero,conv2,1.0000
round_2,client_2,0 - zero,conv3,0.9000
round_2,client_2,1 - one,conv1,0.8571
round_2,client_2,1 - one,conv2,0.7143
round_2,client_2,1 - one,conv3,1.0000
round_2,client_2,3 - three,conv1,1.0000
round_2,client_2,3 - three,conv2,0.8333
round_2,client_2,3 - three,conv3,0.7368
round_2,client_3,0 - zero,conv1,1.0000
round_2,client_3,0 - zero,conv2,1.0000
round_2,client_3,0 - zero,conv3,0.8182
round_2,client_3,1 - one,conv1,1.0000
round_2,client_3,1 - one,conv2,1.0000
round_2,client_3,1 - one,conv3,0.8889
round_2,client_3,3 - three,conv1,1.0000
round_2,client_3,3 - three,conv2,1.0000
round_2,client_3,3 - three,conv3,0.7895
round_2,client_4,0 - zero,conv1,1.0000
round_2,client_4,0 - zero,conv2,0.8000
round_2,client_4,0 - zero,conv3,0.9000
round_2,client_4,1 - one,conv1,0.8571
round_2,client_4,1 - one,conv2,0.8333
round_2,client_4,1 - one,conv3,0.8000
round_2,client_4,3 - three,conv1,1.0000
round_2,client_4,3 - three,conv2,1.0000
round_2,client_4,3 - three,conv3,0.8333
round_3,client_0,0 - zero,conv1,1.0000
round_3,client_0,0 - zero,conv2,1.0000
round_3,client_0,0 - zero,conv3,1.0000
round_3,client_0,1 - one,conv1,1.0000
round_3,client_0,1 - one,conv2,1.0000
round_3,client_0,1 - one,conv3,1.0000
round_3,client_0,3 - three,conv1,1.0000
round_3,client_0,3 - three,conv2,0.8333
round_3,client_0,3 - three,conv3,1.0000
round_3,client_1,0 - zero,conv1,1.0000
round_3,client_1,0 - zero,conv2,1.0000
round_3,client_1,0 - zero,conv3,1.0000
round_3,client_1,1 - one,conv1,1.0000
round_3,client_1,1 - one,conv2,0.7500
round_3,client_1,1 - one,conv3,0.8889
round_3,client_1,3 - three,conv1,1.0000
round_3,client_1,3 - three,conv2,1.0000
round_3,client_1,3 - three,conv3,0.9375
round_3,client_2,0 - zero,conv1,1.0000
round_3,client_2,0 - zero,conv2,0.5000
round_3,client_2,0 - zero,conv3,1.0000
round_3,client_2,1 - one,conv1,1.0000
round_3,client_2,1 - one,conv2,1.0000
round_3,client_2,1 - one,conv3,0.8889
round_3,client_2,3 - three,conv1,1.0000
round_3,client_2,3 - three,conv2,1.0000
round_3,client_2,3 - three,conv3,0.9412
round_3,client_3,0 - zero,conv1,1.0000
round_3,client_3,0 - zero,conv2,1.0000
round_3,client_3,0 - zero,conv3,1.0000
round_3,client_3,1 - one,conv1,1.0000
round_3,client_3,1 - one,conv2,1.0000
round_3,client_3,1 - one,conv3,0.8750
round_3,client_3,3 - three,conv1,1.0000
round_3,client_3,3 - three,conv2,1.0000
round_3,client_3,3 - three,conv3,0.9375
round_3,client_4,0 - zero,conv1,1.0000
round_3,client_4,0 - zero,conv2,0.5000
round_3,client_4,0 - zero,conv3,0.9000
round_3,client_4,1 - one,conv1,1.0000
round_3,client_4,1 - one,conv2,1.0000
round_3,client_4,1 - one,conv3,0.8889
round_3,client_4,3 - three,conv1,1.0000
round_3,client_4,3 - three,conv2,1.0000
round_3,client_4,3 - three,conv3,0.8824
round_4,client_0,0 - zero,conv1,1.0000
round_4,client_0,0 - zero,conv2,1.0000
round_4,client_0,0 - zero,conv3,0.7500
round_4,client_0,1 - one,conv1,1.0000
round_4,client_0,1 - one,conv2,1.0000
round_4,client_0,1 - one,conv3,1.0000
round_4,client_0,3 - three,conv1,1.0000
round_4,client_0,3 - three,conv2,1.0000
round_4,client_0,3 - three,conv3,0.9444
round_4,client_1,0 - zero,conv1,1.0000
round_4,client_1,0 - zero,conv2,0.5000
round_4,client_1,0 - zero,conv3,0.6111
round_4,client_1,1 - one,conv1,1.0000
round_4,client_1,1 - one,conv2,1.0000
round_4,client_1,1 - one,conv3,0.8889
round_4,client_1,3 - three,conv1,1.0000
round_4,client_1,3 - three,conv2,1.0000
round_4,client_1,3 - three,conv3,1.0000
round_4,client_2,0 - zero,conv1,1.0000
round_4,client_2,0 - zero,conv2,0.5000
round_4,client_2,0 - zero,conv3,0.7500
round_4,client_2,1 - one,conv1,1.0000
round_4,client_2,1 - one,conv2,1.0000
round_4,client_2,1 - one,conv3,0.9000
round_4,client_2,3 - three,conv1,1.0000
round_4,client_2,3 - three,conv2,1.0000
round_4,client_2,3 - three,conv3,0.8889
round_4,client_3,0 - zero,conv1,1.0000
round_4,client_3,0 - zero,conv2,0.3333
round_4,client_3,0 - zero,conv3,0.8000
round_4,client_3,1 - one,conv1,1.0000
round_4,client_3,1 - one,conv2,1.0000
round_4,client_3,1 - one,conv3,1.0000
round_4,client_3,3 - three,conv1,1.0000
round_4,client_3,3 - three,conv2,1.0000
round_4,client_3,3 - three,conv3,1.0000
round_4,client_4,0 - zero,conv1,1.0000
round_4,client_4,0 - zero,conv2,1.0000
round_4,client_4,0 - zero,conv3,1.0000
round_4,client_4,1 - one,conv1,1.0000
round_4,client_4,1 - one,conv2,1.0000
round_4,client_4,1 - one,conv3,0.8182
round_4,client_4,3 - three,conv1,1.0000
round_4,client_4,3 - three,conv2,0.8000
round_4,client_4,3 - three,conv3,1.0000
round_5,client_0,0 - zero,conv1,1.0000
round_5,client_0,0 - zero,conv2,1.0000
round_5,client_0,0 - zero,conv3,0.9231
round_5,client_0,1 - one,conv1,1.0000
round_5,client_0,1 - one,conv2,1.0000
round_5,client_0,1 - one,conv3,0.9000
round_5,client_0,3 - three,conv1,1.0000
round_5,client_0,3 - three,conv2,1.0000
round_5,client_0,3 - three,conv3,0.9412
round_5,client_1,0 - zero,conv1,1.0000
round_5,client_1,0 - zero,conv2,0.5000
round_5,client_1,0 - zero,conv3,0.7857
round_5,client_1,1 - one,conv1,1.0000
round_5,client_1,1 - one,conv2,1.0000
round_5,client_1,1 - one,conv3,0.9000
round_5,client_1,3 - three,conv1,1.0000
round_5,client_1,3 - three,conv2,1.0000
round_5,client_1,3 - three,conv3,0.8235
round_5,client_2,0 - zero,conv1,1.0000
round_5,client_2,0 - zero,conv2,1.0000
round_5,client_2,0 - zero,conv3,0.8333
round_5,client_2,1 - one,conv1,1.0000
round_5,client_2,1 - one,conv2,1.0000
round_5,client_2,1 - one,conv3,1.0000
round_5,client_2,3 - three,conv1,1.0000
round_5,client_2,3 - three,conv2,1.0000
round_5,client_2,3 - three,conv3,0.9286
round_5,client_3,0 - zero,conv1,1.0000
round_5,client_3,0 - zero,conv2,1.0000
round_5,client_3,0 - zero,conv3,0.8571
round_5,client_3,1 - one,conv1,1.0000
round_5,client_3,1 - one,conv2,1.0000
round_5,client_3,1 - one,conv3,0.9000
round_5,client_3,3 - three,conv1,1.0000
round_5,client_3,3 - three,conv2,1.0000
round_5,client_3,3 - three,conv3,1.0000
round_5,client_4,0 - zero,conv1,1.0000
round_5,client_4,0 - zero,conv2,0.6667
round_5,client_4,0 - zero,conv3,0.4615
round_5,client_4,1 - one,conv1,1.0000
round_5,client_4,1 - one,conv2,1.0000
round_5,client_4,1 - one,conv3,0.9000
round_5,client_4,3 - three,conv1,1.0000
round_5,client_4,3 - three,conv2,1.0000
round_5,client_4,3 - three,conv3,0.9375
round_6,client_0,0 - zero,conv1,1.0000
round_6,client_0,0 - zero,conv2,0.6667
round_6,client_0,0 - zero,conv3,0.7778
round_6,client_0,1 - one,conv1,1.0000
round_6,client_0,1 - one,conv2,0.8000
round_6,client_0,1 - one,conv3,0.8333
round_6,client_0,3 - three,conv1,1.0000
round_6,client_0,3 - three,conv2,1.0000
round_6,client_0,3 - three,conv3,0.7333
round_6,client_1,0 - zero,conv1,1.0000
round_6,client_1,0 - zero,conv2,0.6667
round_6,client_1,0 - zero,conv3,0.7000
round_6,client_1,1 - one,conv1,1.0000
round_6,client_1,1 - one,conv2,1.0000
round_6,client_1,1 - one,conv3,0.9000
round_6,client_1,3 - three,conv1,1.0000
round_6,client_1,3 - three,conv2,1.0000
round_6,client_1,3 - three,conv3,0.8667
round_6,client_2,0 - zero,conv1,1.0000
round_6,client_2,0 - zero,conv2,0.6667
round_6,client_2,0 - zero,conv3,0.7500
round_6,client_2,1 - one,conv1,1.0000
round_6,client_2,1 - one,conv2,1.0000
round_6,client_2,1 - one,conv3,1.0000
round_6,client_2,3 - three,conv1,1.0000
round_6,client_2,3 - three,conv2,1.0000
round_6,client_2,3 - three,conv3,0.9333
round_6,client_3,0 - zero,conv1,1.0000
round_6,client_3,0 - zero,conv2,0.6667
round_6,client_3,0 - zero,conv3,0.8750
round_6,client_3,1 - one,conv1,1.0000
round_6,client_3,1 - one,conv2,1.0000
round_6,client_3,1 - one,conv3,0.8000
round_6,client_3,3 - three,conv1,1.0000
round_6,client_3,3 - three,conv2,1.0000
round_6,client_3,3 - three,conv3,0.9167
round_6,client_4,0 - zero,conv1,1.0000
round_6,client_4,0 - zero,conv2,0.6667
round_6,client_4,0 - zero,conv3,0.5385
round_6,client_4,1 - one,conv1,1.0000
round_6,client_4,1 - one,conv2,1.0000
round_6,client_4,1 - one,conv3,1.0000
round_6,client_4,3 - three,conv1,1.0000
round_6,client_4,3 - three,conv2,1.0000
round_6,client_4,3 - three,conv3,1.0000
round_7,client_0,0 - zero,conv1,1.0000
round_7,client_0,0 - zero,conv2,0.6667
round_7,client_0,0 - zero,conv3,0.6667
round_7,client_0,1 - one,conv1,1.0000
round_7,client_0,1 - one,conv2,0.7500
round_7,client_0,1 - one,conv3,0.9000
round_7,client_0,3 - three,conv1,1.0000
round_7,client_0,3 - three,conv2,1.0000
round_7,client_0,3 - three,conv3,0.7059
round_7,client_1,0 - zero,conv1,1.0000
round_7,client_1,0 - zero,conv2,0.6667
round_7,client_1,0 - zero,conv3,0.6000
round_7,client_1,1 - one,conv1,1.0000
round_7,client_1,1 - one,conv2,1.0000
round_7,client_1,1 - one,conv3,0.7000
round_7,client_1,3 - three,conv1,1.0000
round_7,client_1,3 - three,conv2,1.0000
round_7,client_1,3 - three,conv3,0.8333
round_7,client_2,0 - zero,conv1,1.0000
round_7,client_2,0 - zero,conv2,1.0000
round_7,client_2,0 - zero,conv3,0.8750
round_7,client_2,1 - one,conv1,1.0000
round_7,client_2,1 - one,conv2,0.7500
round_7,client_2,1 - one,conv3,1.0000
round_7,client_2,3 - three,conv1,1.0000
round_7,client_2,3 - three,conv2,1.0000
round_7,client_2,3 - three,conv3,0.6429
round_7,client_3,0 - zero,conv1,1.0000
round_7,client_3,0 - zero,conv2,0.6667
round_7,client_3,0 - zero,conv3,1.0000
round_7,client_3,1 - one,conv1,1.0000
round_7,client_3,1 - one,conv2,1.0000
round_7,client_3,1 - one,conv3,0.9000
round_7,client_3,3 - three,conv1,1.0000
round_7,client_3,3 - three,conv2,1.0000
round_7,client_3,3 - three,conv3,0.7692
round_7,client_4,0 - zero,conv1,1.0000
round_7,client_4,0 - zero,conv2,0.6667
round_7,client_4,0 - zero,conv3,0.6667
round_7,client_4,1 - one,conv1,1.0000
round_7,client_4,1 - one,conv2,0.6000
round_7,client_4,1 - one,conv3,1.0000
round_7,client_4,3 - three,conv1,1.0000
round_7,client_4,3 - three,conv2,1.0000
round_7,client_4,3 - three,conv3,0.8000
round_8,client_0,0 - zero,conv1,1.0000
round_8,client_0,0 - zero,conv2,0.6667
round_8,client_0,0 - zero,conv3,0.8333
round_8,client_0,1 - one,conv1,1.0000
round_8,client_0,1 - one,conv2,1.0000
round_8,client_0,1 - one,conv3,0.8889
round_8,client_0,3 - three,conv1,1.0000
round_8,client_0,3 - three,conv2,1.0000
round_8,client_0,3 - three,conv3,0.6000
round_8,client_1,0 - zero,conv1,1.0000
round_8,client_1,0 - zero,conv2,0.6667
round_8,client_1,0 - zero,conv3,0.7500
round_8,client_1,1 - one,conv1,1.0000
round_8,client_1,1 - one,conv2,0.7500
round_8,client_1,1 - one,conv3,1.0000
round_8,client_1,3 - three,conv1,1.0000
round_8,client_1,3 - three,conv2,1.0000
round_8,client_1,3 - three,conv3,0.6250
round_8,client_2,0 - zero,conv1,1.0000
round_8,client_2,0 - zero,conv2,1.0000
round_8,client_2,0 - zero,conv3,0.8571
round_8,client_2,1 - one,conv1,1.0000
round_8,client_2,1 - one,conv2,1.0000
round_8,client_2,1 - one,conv3,1.0000
round_8,client_2,3 - three,conv1,1.0000
round_8,client_2,3 - three,conv2,1.0000
round_8,client_2,3 - three,conv3,0.7333
round_8,client_3,0 - zero,conv1,1.0000
round_8,client_3,0 - zero,conv2,0.6667
round_8,client_3,0 - zero,conv3,1.0000
round_8,client_3,1 - one,conv1,1.0000
round_8,client_3,1 - one,conv2,1.0000
round_8,client_3,1 - one,conv3,0.7000
round_8,client_3,3 - three,conv1,1.0000
round_8,client_3,3 - three,conv2,1.0000
round_8,client_3,3 - three,conv3,0.5625
round_8,client_4,0 - zero,conv1,1.0000
round_8,client_4,0 - zero,conv2,1.0000
round_8,client_4,0 - zero,conv3,1.0000
round_8,client_4,1 - one,conv1,1.0000
round_8,client_4,1 - one,conv2,0.8000
round_8,client_4,1 - one,conv3,0.9000
round_8,client_4,3 - three,conv1,1.0000
round_8,client_4,3 - three,conv2,1.0000
round_8,client_4,3 - three,conv3,0.8182
round_9,client_0,0 - zero,conv1,1.0000
round_9,client_0,0 - zero,conv2,0.6667
round_9,client_0,0 - zero,conv3,0.8333
round_9,client_0,1 - one,conv1,1.0000
round_9,client_0,1 - one,conv2,1.0000
round_9,client_0,1 - one,conv3,0.8889
round_9,client_0,3 - three,conv1,1.0000
round_9,client_0,3 - three,conv2,1.0000
round_9,client_0,3 - three,conv3,0.7273
round_9,client_1,0 - zero,conv1,1.0000
round_9,client_1,0 - zero,conv2,0.6667
round_9,client_1,0 - zero,conv3,0.5556
round_9,client_1,1 - one,conv1,1.0000
round_9,client_1,1 - one,conv2,1.0000
round_9,client_1,1 - one,conv3,0.8889
round_9,client_1,3 - three,conv1,1.0000
round_9,client_1,3 - three,conv2,0.7500
round_9,client_1,3 - three,conv3,0.6667
round_9,client_2,0 - zero,conv1,1.0000
round_9,client_2,0 - zero,conv2,1.0000
round_9,client_2,0 - zero,conv3,0.5455
round_9,client_2,1 - one,conv1,1.0000
round_9,client_2,1 - one,conv2,0.7500
round_9,client_2,1 - one,conv3,0.7778
round_9,client_2,3 - three,conv1,1.0000
round_9,client_2,3 - three,conv2,1.0000
round_9,client_2,3 - three,conv3,0.8333
round_9,client_3,0 - zero,conv1,1.0000
round_9,client_3,0 - zero,conv2,0.6667
round_9,client_3,0 - zero,conv3,1.0000
round_9,client_3,1 - one,conv1,1.0000
round_9,client_3,1 - one,conv2,0.8000
round_9,client_3,1 - one,conv3,0.8889
round_9,client_3,3 - three,conv1,1.0000
round_9,client_3,3 - three,conv2,1.0000
round_9,client_3,3 - three,conv3,0.7273
round_9,client_4,0 - zero,conv1,1.0000
round_9,client_4,0 - zero,conv2,1.0000
round_9,client_4,0 - zero,conv3,0.7000
round_9,client_4,1 - one,conv1,1.0000
round_9,client_4,1 - one,conv2,1.0000
round_9,client_4,1 - one,conv3,0.8000
round_9,client_4,3 - three,conv1,1.0000
round_9,client_4,3 - three,conv2,1.0000
round_9,client_4,3 - three,conv3,0.9000
